Product,Date,Invoice_No,Quantity,Weight,Amount,CGST,SGST,Party_Name,Location
21-05-25,B,846,12.00,0.00,0.00,0.00,SRI VENKATESWARA TRADERS...,TENALI,TOTALS
21-05-25,B,852,15.00,0.00,0.00,0.00,SRI VIJAYA DURGA TRADERS,NANDIGAMA,TOTALS
21-05-25,B,855,10.00,0.00,0.00,0.00,NAGARAJA KIRANA&GENERAL STORES,KAIKALURU,TOTALS
21-05-25,B,856,30.00,0.00,0.00,0.00,BATHULA  HANUMANTHA RAO,KALIDINDI,TOTALS
21-05-25,B,858,10.00,0.00,0.00,0.00,MURALI GENRAL STORES,GUDIVADA,TOTALS
21-05-25,B,861,20.00,0.00,0.00,0.00, SRI ANJANEYA TRADERS,CHIRALA,TOTALS
21-05-25,B,868,10.00,0.00,0.00,0.00,SRI SAI BALAJI GENERAL MERCHANTS,BAPATLA,TOTALS
21-05-25,B,870,25.00,0.00,0.00,0.00,KUMAR ENTERPRISES,VIJAYAWADA,TOTALS
21-05-25,B,872,10.00,0.00,0.00,0.00,SRI SRINIVASA TRADERS.....,CHIMAKURTHY,TOTALS
21-05-25,B,875,10.00,0.00,0.00,0.00,SRIRAMA ANNAPURNA RICE AND GENERAL STORES,NUZIVEDU,TOTALS
21-05-25,B,873,2.00,0.00,0.00,0.00,SRI VENKATARAMANA GENERAL STORES NEW,BANTUMILLI,TOTALS
21-05-25,B,876,10.00,0.00,0.00,0.00,SRI BAGAVAN GENRAL STORES,HANUMAN JUNCTIN,TOTALS
22-05-25,B,897,5.00,0.00,0.00,0.00,SRI SEETA RAMACHANDRA GENERALS,AMARAVATHI,TOTALS
22-05-25,B,897,5.00,0.00,0.00,0.00,SRI SEETA RAMACHANDRA GENERALS,AMARAVATHI,TOTALS
22-05-25,B,878,10.00,0.00,0.00,0.00,ANJANEYA TRADERS,GUDIVADA,TOTALS
22-05-25,B,884,10.00,0.00,0.00,0.00,"SAI TRADERS,",VIJAYAWADA,TOTALS
22-05-25,B,887,10.00,0.00,0.00,0.00,MANASA GENERAL STORES,REPALLE,TOTALS
22-05-25,B,889,20.00,0.00,0.00,0.00,SRI LAKSHMI HASINI RETAIL MARKET,JANGAREDDYGUDEM,TOTALS
22-05-25,B,892,15.00,0.00,0.00,0.00,SRI VENKATA SAI SYAMALA GENERAL STORES,KAIKALURU,TOTALS
22-05-25,B,893,10.00,0.00,0.00,0.00,MURALI GENRAL STORES,GUDIVADA,TOTALS
23-05-25,B,899,12.00,0.00,0.00,0.00,SRI VENKATA NAGASAI MANIKANTA TRADERS,TENALI,TOTALS
23-05-25,B,902,11.00,0.00,0.00,0.00,SAKUNTHALA TRADERS,TENALI,TOTALS
23-05-25,B,903,10.00,0.00,0.00,0.00,ANNAPURNA KIRANA STORES,ELURU,TOTALS
23-05-25,B,906,10.00,0.00,0.00,0.00,M POORNA GARU,GUNTUR,TOTALS
23-05-25,B,914,10.00,0.00,0.00,0.00,NANDINI SWEETS,REPALLE,TOTALS
23-05-25,B,915,5.00,0.00,0.00,0.00,NARAYANA GARU,REPALLE,TOTALS
23-05-25,B,916,10.00,0.00,0.00,0.00,MANASA GENERAL STORES,REPALLE,TOTALS
23-05-25,B,922,14.00,0.00,0.00,0.00,SRI BALAJI GENERAL STORES,AMALAPURAM,TOTALS
24-05-25,B,933,13.00,0.00,0.00,0.00,SRI SRI PHANI RAGAVENDRA TRADERS,GUDIVADA,TOTALS
24-05-25,B,934,25.00,0.00,0.00,0.00,SRI SWAMY AYYAPPA GENERAL STORES,AGIRIPALLI,TOTALS
24-05-25,B,937,10.00,0.00,0.00,0.00,MURALI GENRAL STORES,GUDIVADA,TOTALS
26-05-25,B,941,20.00,0.00,0.00,0.00,SRI MANIKANTA TRADERS,ELURU,TOTALS
26-05-25,B,942,50.00,0.00,0.00,0.00,JYOTHI ENTERPRISES.,GUNTUR,TOTALS
26-05-25,B,942,20.00,0.00,0.00,0.00,JYOTHI ENTERPRISES.,GUNTUR,TOTALS
26-05-25,B,943,10.00,0.00,0.00,0.00,SRI LALITHA SIDHESWARA TRADERS,TENALI,TOTALS
26-05-25,B,944,20.00,0.00,0.00,0.00,SRI PADMAVATI ENTERPRISES,NANDIGAMA,TOTALS
26-05-25,B,945,20.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
26-05-25,B,950,30.00,0.00,0.00,0.00,SRI BALAJI ENTERPRISES,VIJAYAWADA,TOTALS
27-05-25,B,957,10.00,0.00,0.00,0.00,LAKSHMI LAVANYA TRADERS,TENALI,TOTALS
27-05-25,B,958,20.00,0.00,0.00,0.00,V C R TRADERS,TENALI,TOTALS
27-05-25,B,960,10.00,0.00,0.00,0.00,G S R KIRANA,TENALI,TOTALS
27-05-25,B,965,20.00,0.00,0.00,0.00,LAKSHMI TRADERS.,GUDIVADA,TOTALS
27-05-25,B,969,10.00,0.00,0.00,0.00,SRI PAVAN KUMAR GENERAL STORES,VIJAYAWADA,TOTALS
27-05-25,B,971,10.00,0.00,0.00,0.00,SRI VENKATA SAI SYAMALA GENERAL STORES,KAIKALURU,TOTALS
28-05-25,B,972,80.00,0.00,0.00,0.00,BHASKARNI ADHISESAIAH AND CO,TENALI,TOTALS
28-05-25,B,981,10.00,0.00,0.00,0.00,SRI SAMBASIVA GENERAL MERCHENTS,NARASARAOPETA,TOTALS
28-05-25,B,982,10.00,0.00,0.00,0.00,VENKATA SAI KIRANA GENERAL STORES,NARASARAOPETA,TOTALS
29-05-25,B,987,10.00,0.00,0.00,0.00,VIJAYAKRISHNA TRADING COMPANY,TENALI,TOTALS
29-05-25,B,989,10.00,0.00,0.00,0.00,SRI VENKATESWARA TRADERS.,MANGALAGIRI,2631.00
GREEN PEAS 30KGS,02-05-25,B,567,10.00,33000.00,0.00,0.00,SIRI TRADERS.,VIJAYAWADA
08-05-25,B,647,10.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
08-05-25,B,666,5.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
10-05-25,B,714,20.00,0.00,0.00,0.00,SAI PRIYA TRADERS,KATTIPUDI,TOTALS
13-05-25,B,752,15.00,0.00,0.00,0.00,SAI PRIYA OIL & GENERAL MERCHANT,TUNI,TOTALS
14-05-25,B,764,6.00,0.00,0.00,0.00,GRANDHI MANIKYALA RAO ENTERPRISES,TADEPALLIGUDEM,TOTALS
16-05-25,B,785,3.00,0.00,0.00,0.00,LAKSHMI GANAPATHI TRADERA KAVALI,KAVALI,TOTALS
19-05-25,B,815,10.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
21-05-25,B,849,5.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
22-05-25,B,894,1.00,0.00,0.00,0.00,SRI VENKATA NAGAMANI GENERAL MERCHANTS,REPALLE,85.00
MASOOR DALL 30KGS,01-05-25,B,560,333.00,729270.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR
02-05-25,B,572,40.00,0.00,0.00,0.00,VEERANJANEYA TRADERS,GUNTUR,TOTALS
02-05-25,B,575,1.00,0.00,0.00,0.00,SRINIVAS GARU,BAPATLA,TOTALS
02-05-25,B,584,6.00,0.00,0.00,0.00,CHEKA NARASHIMA SETTY SONS,ONGOLE,TOTALS
03-05-25,B,602,2.00,0.00,0.00,0.00,SURYA GANESH TRADERS,KORUKALLU,TOTALS
05-05-25,B,630,2.00,0.00,0.00,0.00,B NARESH GARU,BAPATLA,TOTALS
09-05-25,B,684,10.00,0.00,0.00,0.00,M/S.YAKKALA VENKATA SUBBA RAO & CO,GUNTUR,TOTALS
09-05-25,B,695,35.00,0.00,0.00,0.00,SRI LAKSHMI SAI TRADERS,PATTIPADU,TOTALS
10-05-25,B,713,20.00,0.00,0.00,0.00,SAI PRIYA TRADERS,KATTIPUDI,TOTALS
12-05-25,B,726,2.00,0.00,0.00,0.00,BABAI HOTEL,GUNTUR,TOTALS
12-05-25,B,728,35.00,0.00,0.00,0.00,SRI DURGA COMMERCIAL CORPORATION NEW,VIJAYAWADA,TOTALS
13-05-25,B,741,25.00,0.00,0.00,0.00,ADITHYA TRADERS.,GUNTUR,TOTALS
15-05-25,B,767,1.00,0.00,0.00,0.00,RAMESHA GURU,VIJAYAWADA,TOTALS
15-05-25,B,773,2.00,0.00,0.00,0.00,SURYA GANESH TRADERS,KORUKALLU,TOTALS
15-05-25,B,766,40.00,0.00,0.00,0.00,VEERANJANEYA TRADERS,GUNTUR,TOTALS
16-05-25,B,776,16.00,0.00,0.00,0.00,LAKSHMI TRADERS.,GUDIVADA,TOTALS
16-05-25,B,789,4.00,0.00,0.00,0.00,SRI VENKATA NAGAMANI GENERAL MERCHANTS,REPALLE,TOTALS
